time, id1, id2, amount, message
2016-11-02 09:38:53, 49466, 8552, 23.74, 🦄 
2016-11-02 09:38:53, 52349, 8552, 37.10, Pitcher  
2016-11-02 09:38:53, 49466, 52349, 18.68, 🚕 
2016-11-02 09:38:53, 15381, 13167, 20.92, For your wife. 
2016-11-02 09:38:53, 17052, 6289, 39.09, 🍺🍺🍺🏌🏌🏌 
2016-11-02 09:38:53, 49466, 6989, 23.74, 🦄 
2016-11-02 09:38:53, 52349, 8552, 37.10, Pitcher 
2016-11-02 09:38:53, 32639, 2562, 18.68, 🚕 
2016-11-02 09:38:53, 15381, 13167, 20.92, For your wife. 
2016-11-02 09:38:53, 17052, 6289, 39.09, 🍺🍺🍺🏌🏌🏌 
2016-11-02 09:38:53, 54008, 15138, 21.74, 🚗🌃 
2016-11-02 09:38:53, 74050, 45140, 36.92, Best hair stylist on the west coast... And rent 
2016-11-02 09:38:53, 1, 2, 32.07, Juice 
2016-11-02 09:38:53, 2, 3, 3.19, Milk 
2016-11-02 09:38:53, 3, 4, 14.96, ✨ 
2016-11-02 09:38:53, 4, 5, 20.00, Zombies 
2016-11-02 09:38:53, 5, 6, 24.95, 💋💋💋 
2016-11-02 09:38:53, 49174, 6646, 22.98, 🌚🌚🌚🌚 
2016-11-02 09:38:53, 72459, 72460, 28.63, Debauchery in the form of adulting 
2016-11-02 09:38:53, 13238, 5795, 2.94, Garlic rosemary challah 
2016-11-02 09:38:53, 49509, 74670, 41.74, 🚕 
2016-11-02 09:38:53, 65203, 76387, 29.53, 🍗 
2016-11-02 09:38:53, 20711, 5504, 22.74, Delish 
2016-11-02 09:38:53, 67795, 23442, 3.42, Exterminating 
2016-11-02 09:38:53, 35494, 3009, 34.52, 🚕 
2016-11-02 09:38:53, 43424, 7413, 29.09, 🚕 💸 
2016-11-02 09:38:53, 16965, 52460, 14.95, 🎂🎉 
2016-11-02 09:38:53, 7032, 34, 8.66, Turkey bacon avacadoooooo 
2016-11-02 09:38:53, 32656, 2562, 8.28, 🐱Disappoint plushie 
2016-11-02 09:38:53, 77059, 73447, 21.97, 😈 
2016-11-02 09:38:53, 55755, 10331, 19.83, Mid-afternoon burger 
2016-11-02 09:38:53, 20640, 23310, 10.91, Mimosas!!! Yaaassss queen!! 🍾 
2016-11-02 09:38:53, 73785, 43828, 25.38, Fappiano🍾 
2016-11-02 09:38:53, 38721, 3865, 26.78, 🐶 
2016-11-02 09:38:53, 49425, 4929, 14.88, . 
2016-11-02 09:38:53, 58987, 31733, 20.67, Cover 
2016-11-02 09:38:53, 25074, 1428, 20.94, Drank at Josh Ritter whom I ❤ 
2016-11-02 09:38:53, 67976, 23735, 40.17, Slow service 
2016-11-02 09:38:53, 73253, 41103, 28.30, 🍕 
2016-11-02 09:38:53, 5353, 14985, 28.86, GOODS 
2016-11-02 09:38:53, 42527, 13175, 29.20, Drink 
2016-11-02 09:38:53, 32729, 2571, 20.16, For our nightlights 
2016-11-02 09:38:53, 24111, 1307, 14.35, 🍦 
2016-11-02 09:38:53, 33888, 5922, 22.44, Because you made waffles. 
2016-11-02 09:38:53, 45506, 5457, 29.97, 🚙 
2016-11-02 09:38:53, 5490, 13997, 37.42, 🍟 
2016-11-02 09:38:53, 5480, 2481, 9.90, Lisp 
2016-11-02 09:38:53, 16570, 1726, 10.80, 🐚. 
2016-11-02 09:38:53, 60696, 13817, 16.12, 🌴🌴 
2016-11-02 09:38:53, 7497, 8170, 5.18, Beaaaaan 
2016-11-02 09:38:53, 52087, 8416, 24.32, Tip 
2016-11-02 09:38:53, 31141, 2470, 21.05, Alc 
2016-11-02 09:38:53, 34700, 12729, 27.50, 🍻 
2016-11-02 09:38:53, 19321, 24937, 29.14, Venmo 
2016-11-02 09:38:53, 3912, 10667, 11.33, Whip whip 
2016-11-02 09:38:53, 74961, 51781, 26.79, Lylas 
2016-11-02 09:38:53, 16531, 5457, 30.97, 😘❤️🍻 
2016-11-02 09:38:53, 29312, 65355, 23.34, Polish adventures? 
2016-11-02 09:38:53, 32718, 7338, 10.23, Thank you !! 
2016-11-02 09:38:53, 42987, 8322, 13.39, 💵🔙  refund cuz movie is in Westwood! 
2016-11-02 09:38:53, 44797, 12015, 46.20, There is no potsticksr emoji 😕 
2016-11-02 09:38:53, 4421, 9482, 24.52, Wheel chair 
2016-11-02 09:38:53, 74324, 47125, 16.32, Nashlorette 
2016-11-02 09:38:53, 46025, 63182, 36.34, 2 washes 🚘🚿 
2016-11-02 09:38:53, 19043, 12831, 35.38, 🌚 
2016-11-02 09:38:53, 32425, 2536, 27.20, Bus to logroño and burgos 
2016-11-02 09:38:53, 55401, 10170, 18.30, Keep yo 💰 
